MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DEC  2021,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Admin,DR 023165,18/10/2021,FERGLOBIN 250MG, 7.00 , 517.86 ," 3,625.00 ", -   ," 3,625.00 ", 325.00 ," 2,275.00 "," 1,350.00 ",37%
Admin,DR MS 00990,11/10/2021,OXYGEN TANK REGULATOR - YR88, 1.00 ," 1,500.00 "," 1,500.00 ", -   ," 1,500.00 "," 1,300.00 "," 1,300.00 ", 200.00 ,13%
Admin,DR 023166,11/10/2021,GIAN ZINC 120ML SYR, 12.00 , 120.00 ," 1,440.00 ", -   ," 1,440.00 ", 85.00 ," 1,020.00 ", 420.00 ,29%
Admin,DR 023166,11/10/2021,INSULIN SYRINGE WITH NEEDLE 1CC 29GX1/2 TERUMO, 1.00 ," 1,250.00 "," 1,250.00 ", -   ," 1,250.00 ", 750.00 , 750.00 , 500.00 ,40%
Admin,DR 023166,11/10/2021,INSULIN SYRINGE 1/2 CC G29 TERUMO, 1.00 ," 1,250.00 "," 1,250.00 ", -   ," 1,250.00 ", 850.00 , 850.00 , 400.00 ,32%
Admin,DR 023163,30/09/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023163,30/09/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023163,30/09/2021,RUCEF, 7.00 ," 2,485.71 "," 17,400.00 ", -   ," 17,400.00 "," 1,160.00 "," 8,120.00 "," 9,280.00 ",53%
Admin,DR 023163,30/09/2021,EVENING PRIMEROSE OIL 1000mg, 7.00 ," 1,000.00 "," 7,000.00 ", -   ," 7,000.00 ", 357.00 ," 2,499.00 "," 4,501.00 ",64%
Admin,DR 023163,30/09/2021,ENOCEE 500mg, 14.00 , 214.29 ," 3,000.00 ", -   ," 3,000.00 ", 48.00 , 672.00 ," 2,328.00 ",78%
Admin,DR 023161,27/09/2021,XYNETRIX CHEWABLE TABLET, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 023161,27/09/2021,MAXXIVIT PLUS, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 023161,27/09/2021,FERGLOBIN 250MG, 7.00 , 517.86 ," 3,625.00 ", -   ," 3,625.00 ", 325.00 ," 2,275.00 "," 1,350.00 ",37%
Admin,DR 023161,27/09/2021,CIXTOR-Z 500mg, 7.00 , 450.00 ," 3,150.00 ", -   ," 3,150.00 ", 210.00 ," 1,470.00 "," 1,680.00 ",53%
