MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2024,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Area,DR Number,Date Delivered,Product, Qty , CP , Total CP , Disc , Net CP , TP/UNIT , TOTAL TP , Net Income ,%
Admin,DR 024137,01/03/2024,MUCOLIFAR 500MG, 2.00 ," 3,500.00 "," 7,000.00 ", -   ," 7,000.00 "," 1,100.00 "," 2,200.00 "," 4,800.00 ",69%
Admin,DR 024776,08/03/2024,SOLVAPRINE 10MG TAB, 14.00 , 671.43 ," 9,400.02 ", -   ," 9,400.02 ", 150.00 ," 2,100.00 "," 7,300.02 ",78%
Admin,DR 024776,08/03/2024,CIXTOR-Z 500MG/10MG, 14.00 , 630.00 ," 8,820.00 ", -   ," 8,820.00 ", 210.00 ," 2,940.00 "," 5,880.00 ",67%
Admin,DR 024776,08/03/2024,APCELAC 500MG, 14.00 , 655.00 ," 9,170.00 ", -   ," 9,170.00 ", 400.00 ," 5,600.00 "," 3,570.00 ",39%
Admin,DR 024776,08/03/2024,DOLSAPH 325MG/37.5MG TAB, 14.00 ," 1,414.29 "," 19,800.06 ", -   ," 19,800.06 ", 140.00 ," 1,960.00 "," 17,840.06 ",90%
Admin,DR 024776,08/03/2024,ZELEX 200MG CAP, 14.00 ," 2,800.00 "," 39,200.00 ", -   ," 39,200.00 ", 925.00 ," 12,950.00 "," 26,250.00 ",67%
Personal,DR 024139,12/03/2024,VELON 6.25MG, 1.00 , 175.00 , 175.00 , -   , 175.00 , 72.00 , 72.00 , 103.00 ,59%
Admin,DR 024140,14/03/2024,CIUMADE TAB, 7.00 , 678.57 ," 4,750.00 ", -   ," 4,750.00 ", 450.00 ," 3,150.00 "," 1,600.00 ",34%
Admin,DR 024140,14/03/2024,SANOMAX-FA, 7.00 , 857.14 ," 6,000.00 ", -   ," 6,000.00 ", 560.00 ," 3,920.00 "," 2,080.00 ",35%
Admin,DR 024140,14/03/2024,FOLACID 5MG CAP, 7.00 , 464.29 ," 3,250.03 ", -   ," 3,250.03 ", 236.25 ," 1,653.75 "," 1,596.28 ",49%
Admin,DR 024140,14/03/2024,FERGLOBIN 250MG CAP, 7.00 , 517.86 ," 3,625.00 ", -   ," 3,625.00 ", 325.00 ," 2,275.00 "," 1,350.00 ",37%
Admin,DR 024140,14/03/2024,ERGON 125MCG TAB, 7.00 ," 2,000.00 "," 14,000.00 ", -   ," 14,000.00 ", 170.00 ," 1,190.00 "," 12,810.00 ",92%
Admin,DR 024140,14/03/2024,SOLVAPRINE 10MG TAB, 7.00 , 671.43 ," 4,700.01 ", -   ," 4,700.01 ", 150.00 ," 1,050.00 "," 3,650.01 ",78%
Admin,DR 024140,14/03/2024,COMOX 500MG/125MG, 3.00 ," 2,800.00 "," 8,400.00 ", -   ," 8,400.00 "," 1,173.60 "," 3,520.80 "," 4,879.20 ",58%
Admin,DR 024140,14/03/2024,AFENAX 100MG TAB, 3.00 ," 1,900.00 "," 5,700.00 ", -   ," 5,700.00 ", 595.00 ," 1,785.00 "," 3,915.00 ",69%
Admin,DR 024140,14/03/2024,GLOVES MEDIUM NITRILE NONSTERILE (DR.GREG), 3.00 , 450.00 ," 1,350.00 ", -   ," 1,350.00 ", 200.00 , 600.00 , 750.00 ,56%
Admin,DR 024777,21/03/2024,CIUMADE, 7.00 , 678.57 ," 4,749.99 ", -   ," 4,749.99 ", 450.00 ," 3,150.00 "," 1,599.99 ",34%
Admin,DR 024777,21/03/2024,SOLVAPRINE 10MG TAB, 7.00 , 671.43 ," 4,700.01 ", -   ," 4,700.01 ", 150.00 ," 1,050.00 "," 3,650.01 ",78%
