territory,period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,revenue_yoy_change_pesos,quantity_yoy_change_units,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Camarines Sur,2018-06,2017-06,482.0,0.0,99270.85,,,,,,,False
Cavite,2018-06,2017-06,209.0,0.0,38702.06,,,,,,,False
Laguna,2018-06,2017-06,434.0,0.0,116856.03,,,,,,,False
Marinduque,2018-06,2017-06,350.0,0.0,105840.97,,,,,,,False
Quezon,2018-06,2017-06,354.0,0.0,137893.58,,,,,,,False
Albay,2018-07,2017-07,40.0,0.0,2560.0,,,,,,,False
Batangas,2018-07,2017-07,523.0,0.0,168341.67,,,,,,,False
Camarines Norte,2018-07,2017-07,158.1,0.0,363941.79,,,,,,,False
Camarines Sur,2018-07,2017-07,429.0,0.0,99166.38,,,,,,,False
Cavite,2018-07,2017-07,131.0,0.0,578619.79,,,,,,,False
Laguna,2018-07,2017-07,222.1,0.0,47987.07,,,,,,,False
Marinduque,2018-07,2017-07,420.0,0.0,99931.66,,,,,,,False
Quezon,2018-07,2017-07,571.0,0.0,162615.61,,,,,,,False
Batangas,2018-08,2017-08,578.0,0.0,229429.0,,,,,,,False
Camarines Norte,2018-08,2017-08,178.6,0.0,212092.58,,,,,,,False
Camarines Sur,2018-08,2017-08,401.65,0.0,80950.73,,,,,,,False
Cavite,2018-08,2017-08,218.0,0.0,35295.07,,,,,,,False
Laguna,2018-08,2017-08,857.8,0.0,216673.11,,,,,,,False
Marinduque,2018-08,2017-08,168.0,0.0,76687.68,,,,,,,False
Quezon,2018-08,2017-08,574.0,0.0,145283.95,,,,,,,False
Batangas,2018-09,2017-09,1859.0,0.0,486816.44,,,,,,,False
Camarines Norte,2018-09,2017-09,232.0,0.0,331355.89,,,,,,,False
Camarines Sur,2018-09,2017-09,362.75,0.0,263483.89,,,,,,,False
Cavite,2018-09,2017-09,391.0,0.0,58818.86,1.0,0.0,0.0,390.0,390.0,,False
Laguna,2018-09,2017-09,384.0,0.0,175740.59,,,,,,,False
Marinduque,2018-09,2017-09,105.0,0.0,49134.7,,,,,,,False
Quezon,2018-09,2017-09,438.0,0.0,151320.7,,,,,,,False
Albay,2018-10,2017-10,4.0,0.0,8819.96,,,,,,,False
Batangas,2018-10,2017-10,554.0,0.0,319732.4,,,,,,,False
Camarines Norte,2018-10,2017-10,279.4,0.0,641315.42,,,,,,,False
Camarines Sur,2018-10,2017-10,402.4,0.0,237038.01,,,,,,,False
Cavite,2018-10,2017-10,470.0,0.0,74881.14,,,,,,,False
Laguna,2018-10,2017-10,1362.6,0.0,454835.21,,,,,,,False
Marinduque,2018-10,2017-10,119.0,0.0,44061.31,,,,,,,False
Quezon,2018-10,2017-10,612.0,0.0,212141.84,,,,,,,False
Albay,2018-11,2017-11,3.0,0.0,3200.2,,,,,,,False
Batangas,2018-11,2017-11,3166.41,0.0,1159823.99,,,,,,,False
Camarines Norte,2018-11,2017-11,560.1,0.0,640094.05,,,,,,,False
Camarines Sur,2018-11,2017-11,574.0,0.0,324887.56,,,,,,,False
Cavite,2018-11,2017-11,266.0,0.0,72040.14,,,,,,,False
Laguna,2018-11,2017-11,827.0,0.0,376291.34,,,,,,,False
Marinduque,2018-11,2017-11,640.0,0.0,101512.84,,,,,,,False
Quezon,2018-11,2017-11,448.0,0.0,124705.03,,,,,,,False
Albay,2018-12,2017-12,50.0,0.0,4000.0,,,,,,,False
Batangas,2018-12,2017-12,615.0,0.0,312432.03,,,,,,,False
Camarines Norte,2018-12,2017-12,350.17,0.0,876958.67,,,,,,,False
Camarines Sur,2018-12,2017-12,235.77,0.0,218124.49,,,,,,,False
Cavite,2018-12,2017-12,184.0,0.0,70187.5,,,,,,,False
Laguna,2018-12,2017-12,1002.0,0.0,303176.12,,,,,,,False
Marinduque,2018-12,2017-12,382.0,0.0,58336.73,,,,,,,False
Quezon,2018-12,2017-12,314.0,0.0,112272.08,,,,,,,False
Albay,2019-01,2018-01,4.83,0.0,5576.49,,,,,,,False
Batangas,2019-01,2018-01,1728.0,0.0,699519.83,,,,,,,False
Camarines Norte,2019-01,2018-01,208.18,0.0,366212.09,,,,,,,False
Camarines Sur,2019-01,2018-01,528.0,0.0,127275.73,,,,,,,False
Cavite,2019-01,2018-01,468.0,0.0,54866.09,,,,,,,False
Laguna,2019-01,2018-01,803.0,0.0,259505.92,,,,,,,False
Marinduque,2019-01,2018-01,396.0,0.0,77654.52,,,,,,,False
Quezon,2019-01,2018-01,839.5,0.0,188362.44,,,,,,,False
Albay,2019-02,2018-02,202.0,0.0,22698.44,,,,,,,False
Batangas,2019-02,2018-02,518.0,0.0,208226.4,,,,,,,False
