canonical_sku,region,period,quantity,source_rows,observation_status,in_evaluation_window
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-09,4.0,2,observed,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-10,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-11,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2019-12,,0,missing_unknown,False
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-01,5.0,1,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-02,8.0,3,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-03,12.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-04,17.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-05,11.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-06,12.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-07,21.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-08,12.0,3,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-09,11.0,3,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-10,6.0,2,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-11,13.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2020-12,18.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-01,16.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-02,11.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-03,23.0,8,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-04,9.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-05,17.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-06,13.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-07,23.0,7,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-08,22.0,5,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-09,12.0,3,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-10,19.0,6,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-11,22.0,6,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2021-12,17.0,4,observed,True
DOLO JAGA 500MG/50MG/100MG/100MCG,CALABARZON,2022-01,12.0,3,observed,True
