MEDSHIELD PHARMA CORP,,,,,,,,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,,,,,,,,
AS OF DECEMBER 2018,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DRNumber,DRDate,SalesRep,Product,Qty,CP/UNIT,TOTAL CP,Discount,NET CP,TP/UNIT,Total TP,Net Income,,,,,,,,
17352,2018-08-14,Laguna,OMCARE 40mg,1,2550,2550,0,2550,450,450,2100,,,,,,,,
17353,2018-08-14,Laguna,CEFTIBET 750mg,2,2640,5280,0,5280,170,340,4940,,,,,,,,
17353,2018-08-14,Laguna,CORBAL 100mg,10,1200,12000,0,12000,265,2650,9350,,,,,,,,
17353,2018-08-14,Laguna,ZINACARE 750mg w/o Diluent,20,156,3120,0,3120,120,2400,720,,,,,,,,
17353,2018-08-14,Laguna,STERILE WATER FOR INJECTION 10 ML,40,68,2720,0,2720,6.5,260,2460,,,,,,,,
17353,2018-08-14,Laguna,EUROXONE 1g,120,264,31680,0,31680,73,8760,22920,,,,,,,,
17354,2018-08-16,Laguna,EUROXONE 1g,150,264,39600,0,39600,73,10950,28650,,,,,,,,
17354,2018-08-16,Laguna,STERILE WATER FOR INJECTION 10 ML,60,68,4080,0,4080,6.5,390,3690,,,,,,,,
17356,2018-08-22,Laguna,NICTRAM 50mg/ml,1,1400,1400,0,1400,90,90,1310,,,,,,,,
17356,2018-08-22,Laguna,FUROSE 20mg/2ml,1,824,824,0,824,85,85,739,,,,,,,,
17356,2018-08-22,Laguna,CEFEXIL 250mg/5ml,6,198,1188,0,1188,65,390,798,,,,,,,,
17357,2018-08-22,Laguna,EUROXONE 1g,40,190,7600,0,7600,73,2920,4680,,,,,,,,
