MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2019,,,,,,,,,,,,
,,,,,,,,,,,,
DRNumber,DRDate,AREA,Product,Qty,ContractPrice,TOTAL CP,Discount,TotalCP,TransferPrice,Total TP,Net Income,
15480,2018-04-04,Albay,CLAXIC 500mg/125mg,2,1674,3348,0,3348,1189.86,2379.72,968.2800000000002,
15480,2018-04-04,Albay,LOWAS 10MG,4,325,1300,0,1300,145,580,720,
15480,2018-04-04,Albay,INHIBITA 40mg,10,600,6000,0,6000,85,850,5150,
15480,2018-04-04,Albay,LEXI B FORTE 300mg/100mg/100mcg,10,600,6000,0,6000,,,6000,
15481,2018-04-06,Albay,FORMET 500mg,3,132,396,0,396,74,222,174,
15481,2018-04-06,Albay,PHILSTAT 20mg,3,206.6666,619.9997999999999,0,619.9997999999999,96,288,331.99979999999994,
15482,2018-04-10,Albay,AMETRIS 500mg,4,390,1560,0,1560,,,1560,
15483,2018-04-11,Albay,METMIC 500mg,5,750,3750,0,3750,227.5,1137.5,2612.5,
15484,2018-04-11,Albay,CEEPRAZOL 20mg,2,1800,3600,0,3600,550,1100,2500,
15485,2018-04-11,Albay,PHILSTAT 20mg,2,310,620,0,620,96,192,428,
15486,2018-04-11,Albay,Alvica Trauma Recovery Gel Kids,3,368,1104,0,1104,97.5,292.5,811.5,
15487,2018-04-11,Albay,Alvica Trauma Recovery Gel Ice,3,368,1104,0,1104,98.54,295.62,808.38,
15488,2018-04-11,Albay,FORMET 500mg,2,198,396,0,396,74,148,248,
15489,2018-04-12,Albay,AMETRIS 125mg,12,67.2,806.4000000000001,0,806.4000000000001,40,480,326.4000000000001,
15490,2018-04-12,Albay,CLAXIC 250mg/62.5mg/5ml,7,221.42571428,1549.97999996,0,1549.97999996,154.58,1082.0600000000002,467.9199999599998,
15491,2018-04-12,Albay,CLAXIC 125mg/31.25mg/5ml,7,135.714285714,949.999999998,0,949.999999998,,,949.999999998,
15492,2018-04-13,Albay,BROXIL-M 30mg,3,804,2412,0,2412,210,630,1782,
15493,2018-04-14,Albay,FEBSAN,10,325,3250,0,3250,145,1450,1800,
15494,2018-04-16,Albay,MULTI GROW 120ml,40,144,5760,0,5760,80,3200,2560,
15495,2018-04-16,Albay,SAPHROXOL 30mg,2,781,1562,0,1562,30,60,1502,
15496,2018-04-17,Albay,CLAXIC 500mg/125mg,2,1650,3300,0,3300,1189.86,2379.72,920.2800000000002,
15497,2018-04-17,Albay,AMETRIS 500mg,2,390,780,0,780,,,780,
15498,2018-04-17,Albay,AMETRIS 125mg,8,67.2,537.6,0,537.6,40,320,217.60000000000002,
15499,2018-04-17,Albay,Alvica Trauma Recovery Gel Ice,3,368,1104,0,1104,98.54,295.62,808.38,
15499,2018-04-17,Albay,Alvica Trauma Recovery Gel Kids,3,368,1104,0,1104,97.5,292.5,811.5,
15500,2018-04-19,Albay,SUSTACHLOR 500mg,1,1500,1500,0,1500,447.5,447.5,1052.5,
15560,2018-03-01,Cavite,ZINACARE 750mg with Diluent,20,150,3000,0,3000,22,440,2560,
15560,2018-03-01,Cavite,BUFENOL 200mg/5ml,50,112,5600,0,5600,,,5600,
15561,2018-03-09,Cavite,PENCHLOR 1mg/800mcg,20,98,1960,0,1960,,,1960,
15562,2018-03-05,Cavite,VITAKIDS 120ml,72,160,11520,0,11520,48.65,3502.7999999999997,8017.200000000001,
15562,2018-03-05,Cavite,ZEGECEF 250mg/5ml SUS,72,400,28800,0,28800,139.45,10040.4,18759.6,
15563,2018-03-05,Cavite,HYCLENS 4% SKIN CLEASER 1L,1,1460,1460,292,1168,551.25,551.25,616.75,
15565,2018-03-07,Cavite,LACTAMOX 500mg/125mg TAB,10,2750,27500,0,27500,1173.2,11732,15768,
15566,2018-03-09,Cavite,FUROXIDE 10mg/2ml,10,280,2800,0,2800,70,700,2100,
15572,2018-03-27,Cavite,Hyclens OB 1% Antiseptic,11,279.2,3071.2,0,3071.2,138.6,1524.6,1546.6,
15573,2018-03-26,Cavite,BRODIX Plus,5,1000,5000,0,5000,,,5000,
15573,2018-03-26,Cavite,VOXOLL 30mg TAB,3,650,1950,0,1950,168,504,1446,
15574,2018-04-04,Cavite,Tegutect 2% Chg Digluconate w/70% Alcohol 1GL,1,6210,6210,0,6210,2345,2345,3865,
15575,2018-04-04,Cavite,ANTIZOAL 5mg/ml,30,90,2700,0,2700,14.966666666666667,449,2251,
15576,2018-04-10,Cavite,Hyclens 0.2% Wound Care Solution,1,1250,1250,0,1250,,,1250,
15577,2018-04-12,Cavite,PENCHLOR 1mg/800mcg,10,98,980,0,980,,,980,
15577,2018-04-12,Cavite,FLUIFORT-M 50mg,10,78,780,0,780,28.475,284.75,495.25,
15577,2018-04-12,Cavite,ZEGECEF 250mg/5ml SUS,10,400,4000,0,4000,139.45,1394.5,2605.5,
15578,2018-04-14,Cavite,ZEGECEF 250mg/5ml SUS,72,400,28800,0,28800,139.45,10040.4,18759.6,
15578,2018-04-14,Cavite,TOSYLAM 750mg TAB,10,2750,27500,0,27500,1265,12650,14850,
15579,2018-04-19,Cavite,CEFUSAPH,60,160,9600,0,9600,95,5700,3900,
15580,2018-04-26,Cavite,Essprin ADULT 20ML,3,635,1905,0,1905,210,630,1275,
15581,2018-04-28,Cavite,ANTIZOAL 5mg/ml,30,120,3600,900,2700,14.966666666666667,449,2251,
