MEDSHIELD PHARMA CORP,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,
AS OF DECEMBER 2020,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Area,DR Number,Date Delivered,Product,Qty,CP,Total CP,Disc,Net CP,TP/UNIT,TOTAL TP,Net Income
Admin,22416,2020-11-19,FOLACID 5MG,7,464.29,3250,0,3250,196.88,1378.16,1871.84
Admin,22416,2020-11-19,MAXXIVIT PLUS,7,857.14,6000,0,6000,517.33,3621.33,2378.67
Admin,22416,2020-11-19,XYNETRIX CHEWABLE TABLET,7,678.57,4750,0,4750,410.42,2872.92,1877.08
Admin,22416,2020-11-19,ENOCEE 500mg,14,214.29,3000,0,3000,85,1190,1810
Admin,22416,2020-11-19,AFENAX 100MG,7,1357.14,9500,0,9500,595,4165,5335
Admin,22417,2020-11-19,ANEROCIN 300MG,2,3800,7600,2280,5320,919.67,1839.33,3480.67
Admin,22417,2020-11-19,BENERVA PLUS TAB,2,1708,3416,1024.8,2391.2,550,1100,1291.1999999999998
Admin,22417,2020-11-19,COMOX 625MG,2,2800,5600,1680,3920,1173.6,2347.2,1572.8000000000002
Admin,22417,2020-11-19,FERGLOBIN FA 60MG/400MCG,1,900,900,270,630,273.89,273.89,356.11
Admin,MS00676,2020-11-19,BACTIV 625MG,50,291.06,14553,0,14553,283.05,14152.39,400.6100000000006
Admin,22415,2020-11-16,MONPHEVIN 500 MG,1,88,88,0,88,28,28,60
Admin,22415,2020-11-16,PRESARTAN-50 50MG TAB,2,240,480,0,480,112.5,225,255
Admin,22415,2020-11-16,"MICROPORE 1"" - 3M",2,570,1140,0,1140,380,760,380
Admin,22415,2020-11-16,FACE SHIELD 6php,50,12,600,0,600,6,300,300
Admin,22414,2020-11-03,ENOCEE 500mg,2,150,300,0,300,85,170,130
Admin,22413,2020-11-03,SOLVAPRINE 10MG,14,671.43,9400,0,9400,146.8,2055.2,7344.8
Admin,22413,2020-11-03,CORSTAPH 500MG,14,1071.43,15000,0,15000,435,6090,8910
Admin,22413,2020-11-03,MAXXIVIT PLUS,7,857.14,6000,0,6000,517.33,3621.33,2378.67
Admin,22413,2020-11-03,ERGON 125MCG,7,714.29,5000,0,5000,138.04,966.29,4033.71
Admin,22413,2020-11-03,FERGLOBIN 250MG,7,517.86,3625,0,3625,257.5,1802.5,1822.5
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,ACCU CHECK GLUCOSE STRIPS,20,1062.5,21250,0,21250,840,16800,4450
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,APCEE 500MG,1,402.5,402.5,0,402.5,245,245,157.5
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,APCEE 500MG,10,402.5,4025,0,4025,245,2450,1575
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,APCEE 500MG,10,402.5,4025,0,4025,245,2450,1575
Admin,OS 20-9-53 20-9-47/ JV268,2020-10-28,ARTAL-H 50MG/12.5MG,1,292.25,292.25,0,292.25,105.95,105.95,186.3
