MEDSHIELD PHARMA CORP,,,,,,,,,,,,
SALES SUMMARY REPORT,,,,,,,,,,,,
AS OF DECEMBER 2017,,,,,,,,,,,,
,,,,,,,,,,,,
DR,DATE,AREA,PRODUCT,GROSS SALES,UNIT PRICE,GROSS,DISCOUNT,,QTY,TP,TOTAL,NET INCOME
,,,,,,,%,AMOUNT,,,,
12990,2017-05-16,HOSPITAL,#REF!,1,930,930,,0,1,384,384,546
12990,2017-05-16,HOSPITAL,#REF!,3,1550,4650,,0,3,480.9,1442.6999999999998,3207.3
12990,2017-05-16,HOSPITAL,#REF!,3,1750,5250,,0,3,415,1245,4005
12992,2017-05-26,ADMIN,#REF!,,,0,,0,0,,0,0
12993,2017-05-17,ADMIN,#REF!,5,950,4750,,0,7,310,2170,2580
12993,2017-05-17,ADMIN,#REF!,5,1200,6000,,0,7,420,2940,3060
12993,2017-05-17,ADMIN,#REF!,5,650,3250,,0,7,187.5,1312.5,1937.5
12994,2017-05-18,ADMIN,#REF!,3,1550,4650,,0,3,445,1335,3315
12994,2017-05-18,ADMIN,#REF!,4,915,3660,,0,4,323,1292,2368
12994,2017-05-18,ADMIN,#REF!,2,3800,7600,,0,2,890,1780,5820
12994,2017-05-18,ADMIN,#REF!,30,450,13500,,0,30,148,4440,9060
12995,2017-05-18,ADMIN,#REF!,,,0,,0,0,,0,0
12996,2017-05-19,ADMIN,#REF!,5,650,3250,,0,5,202.5,1012.5,2237.5
12996,2017-05-19,ADMIN,#REF!,9,1100,9900,,0,9,310,2790,7110
12996,2017-05-19,ADMIN,#REF!,5,1500,7500,,0,5,435,2175,5325
12996,2017-05-19,ADMIN,#REF!,5,980,4900,,0,5,280,1400,3500
12996,2017-05-19,ADMIN,#REF!,3,1425,4275,,0,3,445,1335,2940
12996,2017-05-19,ADMIN,#REF!,20,1150,23000,,0,20,345,6900,16100
12996,2017-05-19,ADMIN,#REF!,5,650,3250,,0,5,170,850,2400
12998,2017-05-25,ADMIN,#REF!,10,1100,11000,,0,14,318.4,4457.599999999999,6542.400000000001
12998,2017-05-25,ADMIN,#REF!,5,725,3625,,0,7,215,1505,2120
12998,2017-05-25,ADMIN,#REF!,5,950,4750,,0,7,310,2170,2580
12998,2017-05-25,ADMIN,#REF!,5,1200,6000,,0,7,420,2940,3060
12999,2017-05-25,ADMIN,#REF!,2,1950,3900,0.3,1170,2,590,1180,1550
