period,product,territory,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2021-02,TRIZEF 100MG,Batangas,2,1,2,0,5.0,6363.65,21636.35,28000.0,0.0,28000.0
2021-02,VOXOLL 15MG/5ML SYR,Quezon,1,1,1,0,3.0,69.0,1881.0,1950.0,0.0,1950.0
2021-02,XYNETRIX CHEWABLE TABLET,Batangas,1,1,1,0,5.0,2250.0,2500.0,4750.0,0.0,4750.0
2021-02,XYNETRIX CHEWABLE TABLET,Quezon,1,1,1,0,2.0,900.0,780.0,1680.0,720.0,2400.0
2021-03,AFENAX 100MG,Batangas,1,1,1,0,3.0,1785.0,4155.0,5940.0,0.0,5940.0
2021-03,ANEROCIN 300MG,Batangas,1,1,1,0,3.0,2937.0,7263.0,10200.0,0.0,10200.0
2021-03,ANEROCIN 300MG,Quezon,1,1,1,0,1.0,979.0,1681.0,2660.0,1140.0,3800.0
2021-03,ATOVAS 20MG,Quezon,1,1,1,0,13.0,2340.0,6660.0,9000.0,0.0,9000.0
2021-03,BENERVA FORTE CAP,Marinduque,3,1,3,0,32.0,16800.0,17388.0,34188.0,12012.0,46200.0
2021-03,BENERVA PLUS TAB,Quezon,1,1,1,0,5.0,2750.0,3250.0,6000.0,0.0,6000.0
2021-03,BUFEN 200MG/ML,Quezon,1,1,1,0,6.0,210.0,131.25,341.25,0.0,341.25
2021-03,BUPIRIGHT AMPULE,Camarines Norte,4,1,4,0,67.0,12395.0,26480.0,38875.0,0.0,38875.0
2021-03,CATAMED 75MCG TAB,Cavite,1,1,1,0,3.0,1497.0,696.75,2193.75,0.0,2193.75
2021-03,CINNABLOC 25MG,Batangas,1,1,1,0,3.0,399.0,1251.0,1650.0,0.0,1650.0
2021-03,CINNABLOC 25MG,Quezon,1,1,1,0,5.0,665.0,1085.0,1750.0,750.0,2500.0
2021-03,CINNABLOC 75MG,Quezon,1,1,1,0,10.0,400.0,1200.0,1600.0,0.0,1600.0
2021-03,CIXTOR-Z 500MG,Quezon,4,1,4,0,4.0,840.0,1218.0,2058.0,882.0,2940.0
2021-03,CLOVAS 75MG,Quezon,1,1,1,0,13.0,4485.0,11715.0,16200.0,0.0,16200.0
2021-03,COZOLE 200MG/40MG/5ML,Camarines Sur,1,1,1,0,12.0,388.8,907.2,1296.0,0.0,1296.0
2021-03,DOLO JAGA 500MG/50MG/100MG/100MCG,Batangas,3,1,3,0,8.0,4920.0,9480.0,14400.0,0.0,14400.0
2021-03,DOLO JAGA 500MG/50MG/100MG/100MCG,Camarines Sur,2,1,2,0,7.0,4305.0,4795.0,9100.0,0.0,9100.0
2021-03,DOLO JAGA 500MG/50MG/100MG/100MCG,Marinduque,1,1,1,0,10.0,6150.0,7850.0,14000.0,6000.0,20000.0
2021-03,DOLO JAGA 500MG/50MG/100MG/100MCG,Quezon,3,1,3,0,6.0,3690.0,5910.0,9600.0,2400.0,12000.0
2021-03,EPIX BY 10'S,Quezon,1,1,1,0,20.0,3500.0,12100.0,15600.0,0.0,15600.0
2021-03,ERGON 125MCG,Quezon,1,1,1,0,2.0,266.66,1733.34,2000.0,0.0,2000.0
2021-03,FERGLOBIN 250MG,Marinduque,1,1,1,0,3.0,975.0,1200.0,2175.0,0.0,2175.0
