period,territory,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2018-10,Laguna,164,55,22,0,2675.2,236557.39,871362.61,549210.0,0.0,1107920.0
2018-10,Marinduque,8,8,4,0,119.0,47412.34,44061.31,0.0,28811.36,91473.65
2018-10,Quezon,144,65,37,0,1343.0,226876.29,458359.16,388354.55,43386.56,721334.4
2018-11,Batangas,247,89,85,0,6330.8195,1224496.64,1996523.07,1610289.84,0.0,3221019.68
2018-11,Camarines Norte,175,74,64,0,1369.0,418179.25,1143107.35,815436.0,11845.6,1573132.2
2018-11,Camarines Sur,151,47,45,0,1042.0,247439.82,537802.18,375890.0,3276.0,786880.0
2018-11,Cavite,25,14,15,0,420.0,72859.7,105435.74,49498.4,1500.0,178295.44
2018-11,Laguna,138,51,13,0,1622.0,147408.56,727509.44,432509.0,0.0,874918.0
2018-11,Marinduque,44,30,13,0,640.0,48469.17,101512.84,0.0,9133.5,149495.35
2018-11,Quezon,134,62,32,0,1481.0,147013.17,308323.58,277403.55,22393.1,471100.05
2018-12,Batangas,50,30,43,0,615.0,50411.98,312432.03,0.0,0.0,362844.0
2018-12,Camarines Norte,49,33,31,0,350.17,128532.36,876958.67,0.0,0.0,1005491.03
2018-12,Camarines Sur,42,28,15,0,235.77,49560.71,218124.49,0.0,2050.8,267685.2
2018-12,Cavite,10,9,8,0,184.0,17579.42,70187.5,0.0,1050.0,87766.92
2018-12,Laguna,65,45,18,0,1002.0,94205.88,303176.12,0.0,0.0,397382.0
2018-12,Marinduque,24,18,12,0,382.0,52001.87,58336.73,0.0,21681.4,110338.6
2018-12,Quezon,33,29,15,0,314.0,61005.34,112272.08,0.0,7966.62,173277.42
2019-01,Batangas,112,42,98,0,1728.0,119273.19,699519.83,0.0,0.0,818793.0
2019-01,Camarines Norte,35,24,24,0,208.18,76769.61,366212.09,0.0,355.5,442981.7
2019-01,Camarines Sur,68,34,34,0,528.0,57573.28,127275.73,0.0,0.0,184849.0
2019-01,Cavite,18,14,13,0,468.0,30134.15,54866.09,0.0,3310.0,85000.24
2019-01,Laguna,61,39,21,0,803.0,86363.08,259505.92,0.0,0.0,345869.0
2019-01,Marinduque,18,16,7,0,396.0,73378.44,77654.52,0.0,44307.04,151032.96
2019-01,Quezon,101,62,34,0,839.5,78441.28,188362.44,0.0,3045.4,262750.6
2019-02,Batangas,79,34,69,0,518.0,82281.63,208226.4,0.0,0.0,290508.0
2019-02,Camarines Norte,29,21,16,0,181.6,57593.37,270991.43,0.0,928.2,328584.8
2019-02,Camarines Sur,73,35,33,0,420.12,61163.0,263140.02,0.0,2160.0,324303.0
2019-02,Cavite,37,17,26,0,939.24,55052.77,120816.91,0.0,2786.85,175869.67
2019-02,Laguna,42,34,13,0,588.2,242316.27,356308.73,0.0,0.0,250825.0
2019-02,Marinduque,13,12,4,0,138.0,11535.63,30482.14,0.0,8750.23,42017.77
2019-02,Quezon,58,41,21,0,739.0,83222.11,174145.79,0.0,17480.1,257367.9
2019-03,Batangas,66,43,52,0,1121.3,110056.27,533214.14,0.0,0.0,643270.4
2019-03,Camarines Norte,7,7,3,0,62.0,12597.32,14010.68,0.0,1092.0,26608.0
2019-03,Camarines Sur,92,54,31,0,577.0,110615.3,402433.71,0.0,1470.0,513049.0
2019-03,Cavite,56,32,29,0,589.0,44703.91,130805.97,0.0,0.0,170133.92
2019-03,Laguna,92,65,26,0,1126.28,433971.92,741670.08,0.0,0.0,480042.0
2019-03,Marinduque,44,28,14,0,651.0,65244.17,128146.95,0.0,25772.88,193391.12
2019-03,Quezon,37,31,22,0,342.0,44323.31,137699.85,0.0,14611.84,182023.16
2019-04,Batangas,72,36,64,0,637.46,104963.39,277593.62,0.0,0.0,382557.0
2019-04,Camarines Norte,65,35,40,0,348.6,79875.39,287240.61,0.0,0.0,367116.0
2019-04,Camarines Sur,58,33,20,0,360.0,70145.94,273731.07,0.0,0.0,343877.0
2019-04,Cavite,50,39,32,0,725.0,73536.0,158714.4,0.0,3115.0,232250.39
