period,product,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2017-01,FERGLOBIN 250MG,2,1,2,0,9.0,1935.0,3140.0,0.0,0.0,5075.0
2017-01,FERGLOBIN FA 60MG/400MCG,4,1,3,0,-509.0,3645.6,8783.4,0.0,0.0,12429.0
2017-01,FEXIL 250MG/5ML,1,1,1,0,6.0,390.0,798.0,0.0,0.0,1188.0
2017-01,FEXIL 500MG,8,1,8,0,36.0,19260.0,45540.0,0.0,0.0,64800.0
2017-01,FLUIFORT-M 100MG/5ML,2,1,2,0,12.0,323.4,780.6,0.0,0.0,1104.0
2017-01,FLUIFORT-M 50MG/ML DROPS,1,1,1,0,26.0,591.5,1436.5,0.0,0.0,2028.0
2017-01,FOCID 5MG,4,1,4,0,25.0,4687.5,7662.5,0.0,0.0,12350.0
2017-01,FORTIFLEX,1,1,1,0,1.0,215.0,685.0,0.0,0.0,900.0
2017-01,FUROSE,1,1,1,0,2.0,170.0,1430.0,0.0,0.0,1600.0
2017-01,GIAN ZINC 30ML DROPS,4,1,4,0,59.0,3825.0,5479.0,0.0,0.0,9304.0
2017-01,GIAN ZINC PLUS C 120ML,1,1,1,0,20.0,1500.0,2000.0,0.0,0.0,3500.0
2017-01,GLIPRIDE 2MG,1,1,1,0,2.0,320.0,760.0,0.0,0.0,1080.0
2017-01,HAVC 500MG,2,1,2,0,14.0,490.0,760.0,0.0,0.0,1250.0
2017-01,HEMOTRAN 500MG,5,1,5,0,9.0,6165.0,12423.0,0.0,0.1,19020.0
2017-01,HISTARIL 100MG/2MG,12,1,12,0,38.0,7346.82,18929.18,0.0,0.1,26468.0
2017-01,HISTARIL 50MG/1MG/5ML,14,1,13,0,219.0,5960.52,15140.28,0.0,0.1,21216.0
2017-01,INOFIB 200MG,1,1,1,0,2.0,1900.0,4700.0,0.0,0.0,6600.0
2017-01,INTRAPLEM 100MG/5ML,4,1,4,0,29.0,1506.74,4001.26,0.0,0.0,5508.0
2017-01,INTRAPLEM 500MG,1,1,1,0,3.0,840.0,2100.0,0.0,0.0,2940.0
2017-01,INTRAPLEM 50MG/ML DROPS,2,1,2,0,32.0,728.0,2024.0,0.0,0.0,2752.0
2017-01,JAGA 300MG/100MG/100MCG,11,1,10,0,63.0,15979.8,22605.38,0.0,0.25,41330.24
2017-01,JAGAPLEX,13,1,13,0,76.0,14359.0,27786.5,0.0,0.35,43545.0
2017-01,JAGAPLEX 120ML,3,1,3,0,85.0,3995.0,10610.0,0.0,0.0,14605.0
2017-01,JAGAPLEX OB,1,1,1,0,1.0,155.0,695.0,0.0,0.0,850.0
2017-01,KLOPIDO,5,1,5,0,45.0,13815.0,35060.0,0.0,0.0,48875.0
2017-01,KOLTIN,4,1,4,0,14.0,2750.0,7800.0,0.0,0.0,10550.0
2017-01,LACTAMOX 156.25MG/5ML,5,1,5,0,53.0,4006.8,6003.2,0.0,0.0,10010.0
2017-01,LACTAMOX 312.5MG/5ML,6,1,6,0,46.0,8054.0,12246.0,0.0,0.0,20300.0
2017-01,LACTAMOX 625MG,19,1,19,0,34.0,39898.8,58197.2,0.0,0.2,99440.0
2017-01,LEXI B FORTE 300MG/100MG/100UG,2,1,2,0,8.0,2584.0,3331.0,0.0,0.0,5915.0
2017-01,LIPIVASC,1,1,1,0,13.0,3737.5,6558.5,0.0,0.0,10296.0
2017-01,MAXIFER,5,1,5,0,44.0,13155.0,26045.0,0.0,0.0,39200.0
2017-01,MAXXI-VIT PLUS,5,1,5,0,27.0,11340.0,14460.0,0.0,0.0,25800.0
2017-01,METMIC 500MG,5,1,5,0,13.0,2957.87,6792.13,0.0,0.0,9750.0
2017-01,MONILIASOL 125MG/5ML,7,1,7,0,101.0,4575.0,9187.0,0.0,0.0,13762.0
2017-01,MONILIASOL 500MG,2,1,2,0,2.0,480.0,1090.0,0.0,0.0,1570.0
2017-01,MORDEK 150MG,1,1,1,0,1.0,315.0,735.0,0.0,0.0,1050.0
2017-01,MULTI GROW 120ML,3,1,3,0,49.0,7050.0,6040.0,0.0,0.0,13090.0
2017-01,MULTI GROW DROPS,1,1,1,0,20.0,960.0,2540.0,0.0,0.0,3500.0
2017-01,MULTI GROW OB PLUS,2,1,2,0,13.0,5850.0,4050.0,0.0,0.0,9900.0
2017-01,MYZIN 500MG,1,1,1,0,1.0,2022.0,4228.0,0.0,0.0,6250.0
2017-01,NERVAPLEX 500MG/50MG/100MG/100MCG,3,1,3,0,14.0,6732.6,15467.4,0.0,0.0,22200.0
2017-01,NERVCARE 500MG,2,1,2,0,4.0,11000.0,13150.0,0.0,0.0,24150.0
2017-01,NOZAL 5MG,6,1,6,0,11.0,2860.0,7170.0,0.0,0.0,10030.0
2017-01,NUTRI Z 120ML,2,1,2,0,8.0,536.0,850.0,0.0,0.5,1584.0
2017-01,NUTRI Z DROPS,2,1,2,0,26.0,1261.0,2559.0,0.0,0.0,3820.0
2017-01,,19,0,18,0,288.0,5904.0,11376.0,0.0,0.5,17280.0
2017-01,OB-DILAN 10MG,4,1,4,0,22.0,7004.8,10160.2,0.0,0.0,17165.0
2017-01,OBYDOSE,2,1,2,0,7.0,1855.0,4130.0,0.0,0.0,5985.0
2017-01,OSTEO-PRO 750MG/10IU/10MG,3,1,3,0,6.0,1998.0,4992.0,0.0,0.0,6990.0
2017-01,PREDNIMED 10MG,1,1,1,0,2.0,336.0,434.0,0.0,0.0,770.0
2017-01,PROCARV,1,1,1,0,5.0,1825.0,3675.0,0.0,0.0,5500.0
2017-01,PROPHALAN,1,1,1,0,5.0,1825.0,3925.0,0.0,0.0,5750.0
2017-01,PROXAZIN 500MG,1,1,1,0,2.0,900.0,2600.0,0.0,0.0,3500.0
2017-01,PUROXEL 20MG,1,1,1,0,2.0,600.0,1320.0,0.0,0.0,1920.0
2017-01,PUROXEL 40MG,3,1,3,0,8.0,1600.0,8840.0,0.0,0.0,10440.0
2017-01,QUALRAN 25MG/2ML,4,1,3,0,28.0,820.0,5620.0,0.0,0.0,6400.0
2017-01,QUIFLOX 500MG,7,1,7,0,20.0,12600.0,18469.8,0.0,0.0,31069.8
2017-01,RENOKET,1,1,1,0,1.0,1450.0,1450.0,0.0,0.0,2900.0
2017-01,RESPINAL 125MG/5ML,1,1,1,0,2.0,70.0,170.0,0.0,0.0,240.0
2017-01,RESPINAL 250MG/5ML,1,1,1,0,2.0,96.0,244.0,0.0,0.0,340.0
2017-01,RESPINAL 500MG,2,1,2,0,5.0,2000.0,5500.0,0.0,0.0,7500.0
2017-01,ROSADOC 10MG,1,1,1,0,2.0,660.0,1580.0,0.0,0.0,2240.0
2017-01,ROSADOC 20MG,2,1,2,0,32.0,10320.0,22740.0,0.0,0.0,33060.0
2017-01,SEPTIN VIAL,1,1,1,0,10.0,150.0,650.0,0.0,0.0,800.0
2017-01,SNEEZ 12.5MG,2,1,2,0,23.0,966.0,2394.0,0.0,0.0,3360.0
2017-01,SNEEZ 6.25MG/2ML/ML DROPS,6,1,6,0,58.0,2292.0,5428.0,0.0,0.0,7720.0
