territory,period,prior_period,quantity,revenue,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial
Quezon,2019-04,2018-04,745.2,91450.02,898.87,104445.44,-0.170959,-0.124423,False
Batangas,2019-05,2018-05,259.0,64219.87,299.0,47108.49,-0.133779,0.363233,False
Camarines Norte,2019-05,2018-05,332.7,56789.75,142.8,29226.42,1.329832,0.943096,False
Camarines Sur,2019-05,2018-05,290.0,49138.98,394.98,46427.32,-0.265786,0.058407,False
Cavite,2019-05,2018-05,601.0,104348.66,354.0,78450.44,0.69774,0.330122,False
Laguna,2019-05,2018-05,2191.13,211607.58,2456.0,240388.23,-0.107846,-0.119726,False
Marinduque,2019-05,2018-05,77.0,16770.95,300.0,26316.82,-0.743333,-0.362729,False
Quezon,2019-05,2018-05,792.0,137721.74,578.0,60373.84,0.370242,1.281149,False
Batangas,2019-06,2018-06,1355.0,173761.73,1067.0,123533.89,0.269916,0.406592,False
Camarines Norte,2019-06,2018-06,198.8,56808.36,143.4,28096.94,0.386332,1.02187,False
Camarines Sur,2019-06,2018-06,123.0,18974.29,482.0,55098.66,-0.744813,-0.655631,False
Cavite,2019-06,2018-06,577.1,61193.01,209.0,16857.94,1.761244,2.629922,False
Laguna,2019-06,2018-06,1298.6,105061.32,434.0,43443.37,1.992166,1.418351,False
Marinduque,2019-06,2018-06,266.0,39239.32,350.0,57735.28,-0.24,-0.320358,False
Quezon,2019-06,2018-06,395.0,56784.04,354.0,43452.92,0.115819,0.306795,False
Batangas,2019-07,2018-07,585.92,97974.95,523.0,54121.95,0.120306,0.810263,False
Camarines Norte,2019-07,2018-07,303.7,57765.57,158.1,69009.21,0.920936,-0.16293,False
Camarines Sur,2019-07,2018-07,214.0,22382.71,429.0,56857.62,-0.501166,-0.606338,False
Cavite,2019-07,2018-07,642.0,71048.1,131.0,9050.55,3.900763,6.850142,False
Laguna,2019-07,2018-07,1380.79,217022.92,222.1,21267.93,5.216974,9.204233,False
Marinduque,2019-07,2018-07,75.0,15245.0,420.0,56111.94,-0.821429,-0.728311,False
Quezon,2019-07,2018-07,773.0,116544.19,571.0,73973.79,0.353765,0.57548,False
Batangas,2019-08,2018-08,1142.33,281416.08,578.0,80955.5,0.976349,2.476182,False
Camarines Norte,2019-08,2018-08,191.4,39671.58,178.6,111802.78,0.071669,-0.645165,False
Camarines Sur,2019-08,2018-08,278.0,44102.62,401.65,40862.08,-0.307855,0.079304,False
Cavite,2019-08,2018-08,820.0,92747.7,218.0,28698.13,2.761468,2.231838,False
Laguna,2019-08,2018-08,686.0,87984.77,857.8,70038.0,-0.20028,0.256243,False
Marinduque,2019-08,2018-08,128.0,15472.0,168.0,59220.5,-0.238095,-0.738739,False
Quezon,2019-08,2018-08,519.43,72266.33,574.0,66235.05,-0.09507,0.091059,False
Batangas,2019-09,2018-09,875.0,113960.47,1859.0,201817.19,-0.529317,-0.435328,False
Camarines Norte,2019-09,2018-09,311.2,68207.41,232.0,76722.11,0.341379,-0.110981,False
Camarines Sur,2019-09,2018-09,294.0,17624.67,362.75,72105.91,-0.189524,-0.755572,False
Cavite,2019-09,2018-09,518.0,94035.27,391.0,29559.88,0.324808,2.181179,False
Laguna,2019-09,2018-09,249.3,35812.13,384.0,52063.41,-0.350781,-0.312144,False
Marinduque,2019-09,2018-09,135.0,31281.24,105.0,31116.9,0.285714,0.005281,False
Quezon,2019-09,2018-09,629.0,114416.22,438.0,54420.77,0.436073,1.102437,False
Batangas,2020-01,2019-01,120.0,19638.03,1728.0,119273.19,-0.930556,-0.835353,False
Camarines Norte,2020-01,2019-01,197.8,79398.36,208.18,76769.61,-0.049861,0.034242,False
Camarines Sur,2020-01,2019-01,141.0,19496.39,528.0,57573.28,-0.732955,-0.661364,False
Cavite,2020-01,2019-01,298.0,41615.2,468.0,30134.15,-0.363248,0.380998,False
Laguna,2020-01,2019-01,102.0,4857.1,803.0,86363.08,-0.872976,-0.94376,False
Marinduque,2020-01,2019-01,610.0,63530.32,396.0,73378.44,0.540404,-0.13421,False
Quezon,2020-01,2019-01,512.0,101762.53,839.5,78441.28,-0.390113,0.297308,False
Batangas,2020-02,2019-02,170.0,54049.78,518.0,82281.63,-0.671815,-0.343112,False
