product_name,total_transactions,total_quantity,total_net_sales,total_gross_margin,gross_margin_pct,first_year,last_year
PHYTOMEN 10MG/ML IV,31,394.00,348270.00,284048.00,81.56,2023,2024
AMTRIX WITH DILUENT 1G,3,6850.00,347295.00,169195.00,48.72,2025,2025
CIUMADE TAB,86,402.00,345478.27,164578.27,47.64,2023,2025
EMZART-40 40MG,64,665.00,342014.30,238274.30,69.67,2023,2025
IM 70 PATIENT MONITOR TOUCH SCREEN,1,1.00,340000.00,130000.00,38.24,2020,2020
PATIENT MONITOR EQUIPMENT,1,1.00,340000.00,0.00,0.00,2019,2019
AMBIDOL 50MG/ML (100MG/2ML) 2ML,44,323.00,336630.00,316376.00,93.98,2023,2025
DIUFED 10MG/ML (20MG/2ML) 2ML,10,4053.00,335326.10,140782.10,41.98,2025,2025
"PAGBILAO # 335,000",1,1.00,334320.00,170820.00,51.09,2025,2025
FOLACID 5MG,158,742.46,334280.00,182058.69,54.46,2019,2024
ATRIUM 10MG/2.5ML,1,200.00,333500.00,0.00,0.00,2023,2023
LIFERZIN 500MG,9,101.00,331300.00,277493.50,83.76,2018,2020
EROXIME 500MG,17,486.00,329230.00,273340.00,83.02,2020,2023
MUROPHAR,13,1526.00,327859.00,233819.00,71.32,2020,2023
ZUDEM 200MG,18,50.00,327360.00,247360.00,75.56,2018,2020
OMEFREE,3,2510.00,326500.00,208530.00,63.87,2022,2023
EUROXONE 1G IV,25,1010.00,322960.00,249230.00,77.17,2023,2025
RAPICLAV 625MG,14,279.62,319645.24,167176.14,52.30,2018,2021
OMRAZ 40MG,33,1271.00,319605.00,253741.78,79.39,2019,2020
FUROXIDE 10MG/2ML,50,734.00,318280.60,269499.10,84.67,2018,2023
PHILCLOX 500MG,54,373.42,317850.59,159541.92,50.19,2018,2023
"PAGBILAO # 390,100.00",1,1.00,317500.00,59158.12,18.63,2024,2024
ZILTEM 25MG,23,78.00,316405.00,142525.10,45.05,2023,2025
NEUROBE 100MG AMP,7,551.00,316300.00,254480.00,80.46,2021,2023
UV LIGHT CZYD-ZW60WYKW 60W,5,5.00,315716.11,255717.36,81.00,2020,2021
JACKSON PRATT 100ML,25,215.00,315290.00,118290.00,37.52,2018,2023
"PAGBILAO # 588,760.90",1,1.00,315000.00,-69930.00,-22.20,2025,2025
ABDOMINAL BINDER,7,1215.00,314800.00,153150.00,48.65,2020,2023
TUXADO ENOXAPARIN SODIUM INJECTION USP 60MG,1,73.50,314727.00,289369.50,91.94,2022,2022
"PAGBILAO # 449,000.00",1,1.00,314300.00,106076.25,33.75,2024,2024
"PROVINCIAL TOURISM OFFICE # 769,210.00",1,1.00,313390.00,-196072.50,-62.57,2024,2024
DIADIPINE 5MG,1,328.00,313240.00,295200.00,94.24,2023,2023
FERN-D 120'S,3,126.00,311476.00,225796.00,72.49,2021,2022
MINOR SURGERY SET 37'S (OLTEN),1,10.00,310000.00,154930.00,49.98,2025,2025
CIFROX 500MG,89,2133.00,307310.00,84055.00,27.35,2017,2018
