source_workbook,source_sheet,source_row_number,date_delivered,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes
2024s.csv,2024-09-18,2760,2024-09-18,Government,"PAGBILAO # 67,060.00",1,66872.5,66872.5,0,66872.5,44976,44976,21896.5,0.33,valid,
2024s.csv,2024-09-20,2758,2024-09-20,Government,"PAGBILAO # 18,785.00",1,18755,18755,0,18755,11159.23,11159.23,7595.77,0.4,valid,
2024s.csv,2024-09-20,2757,2024-09-20,Government,"PAGBILAO # 21,156.00",1,20919,20919,0,20919,12446.81,12446.81,8472.19,0.4,valid,
2024s.csv,2024-09-20,2756,2024-09-20,Government,PAGBILAO # 5000.00-1,1,4990,4990,0,4990,2969.05,2969.05,2020.95,0.41,valid,
2024s.csv,2024-09-20,2759,2024-09-20,Government,"PAGBILAO # 71,155.00",1,70948.75,70948.75,0,70948.75,42214.51,42214.51,28734.24,0.4,valid,
2024s.csv,2024-10-05,2604,2024-10-05,Government,"PAGBILAO # 239,771.40 LOT 10",1,70535,70535,0,70535,137005.2,137005.2,66470.2,-0.94,valid,
2024s.csv,2024-10-05,2610,2024-10-05,Government,"PAGBILAO # 240,000.00 LOT 12",1,239000,239000,0,239000,111700,111700,127300,0.53,valid,
2024s.csv,2024-10-05,2611,2024-10-05,Government,"PAGBILAO # 41,850.00 LOT 13",1,41242.5,41242.5,0,41242.5,21384,21384,19858.5,0.48,valid,
2024s.csv,2024-10-06,2186,2024-10-06,Hospital,"QMC # 49,855.00",1,45912.5,45912.5,0,45912.5,33634,33634,12278.5,0.27,valid,
2024s.csv,2024-10-09,2243,2024-10-09,Hospital,"QMC # 268,979.00",1,82230,82230,0,82230,196367,196367,114137,-1.39,warning,margin percentage is outside the expected range
2024s.csv,2024-10-10,2831,2024-10-10,Government,"PAGBILAO # 75,000.00",1,74750,74750,0,74750,50000,50000,24750,0.33,valid,
2024s.csv,2024-10-16,2834,2024-10-16,Government,"PAGBILAO # 37,500.00",1,37350,37350,0,37350,22223.25,22223.25,15126.75,0.41,valid,
2024s.csv,2024-10-16,2828,2024-10-16,Government,"PAGBILAO # 69,000.00",1,21260,21260,0,21260,40913.99,40913.99,19653.99,-0.92,valid,
2024s.csv,2024-10-16,2832,2024-10-16,Government,"PAGBILAO # 7,500.00",1,7400,7400,0,7400,6000,6000,1400,0.19,valid,
2024s.csv,2024-10-16,2833,2024-10-16,Government,"PAGBILAO # 84,000.00",1,83920,83920,0,83920,49932.4,49932.4,33987.6,0.41,valid,
2024s.csv,2024-10-16,2769,2024-10-16,Government,"PAGBILAO # 93,792.00",1,23420,23420,0,23420,55332.03,55332.03,31912.03,-1.36,warning,margin percentage is outside the expected range
2024s.csv,2024-10-16,2371,2024-10-16,Hospital,"QMC # 799,200.00",1,796815,796815,0,796815,571140,571140,225675,0.28,valid,
2024s.csv,2024-10-17,2768,2024-10-17,Government,"PAGBILAO # 19,000.00",1,18844,18844,0,18844,11212.18,11212.18,7631.82,0.41,valid,
2024s.csv,2024-10-22,2839,2024-10-22,Government,"PAGBILAO # 37,260.00",1,36915,36915,0,36915,21964.43,21964.43,14950.57,0.4,valid,
2024s.csv,2024-10-24,2478,2024-10-24,Hospital,"QMC # 201,300.00",1,200780,200780,0,200780,157200,157200,43580,0.22,valid,
2024s.csv,2024-11-04,2562,2024-11-04,Government,"PAGBILAO # 51,261.00 LOT 1",1,51160,51160,0,51160,29427.05,29427.05,21732.95,0.42,valid,
2024s.csv,2024-11-06,2633,2024-11-06,Government,"PAGBILAO # 28,000",1,27840,27840,0,27840,16500,16500,11340,0.41,valid,
2024s.csv,2024-11-06,2632,2024-11-06,Government,"PAGBILAO # 90,240.00",1,90100,90100,0,90100,59691.25,59691.25,30408.75,0.34,valid,
2024s.csv,2024-11-11,2911,2024-11-11,Government,"PAGBILAO # 112,990.00",1,112738,112738,0,112738,67079.11,67079.11,45658.89,0.41,valid,
2024s.csv,2024-11-11,2904,2024-11-11,Government,"PAGBILAO # 19,000.00-0.1",1,18680,18680,0,18680,11114.6,11114.6,7565.4,0.41,valid,
