data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,Area,DR Number,Date Delivered,Product,Qty,CP,Total CP,Disc,Net CP,TP/UNIT,TOTAL TP,Net Income,%
raw_sales_report,Sales Report.xlsx,2024,901,6,Batangas,DR 24640,2024-01-02,VOXOLL 30MG,1,800,800,0,800,168,168,632,0.79
raw_sales_report,Sales Report.xlsx,2024,902,6,Batangas,DR 24641,2024-01-02,LACTAMOX 500MG/125MG,4,3600,14400,0,14400,1115,4460,9940,0.6902777777777778
raw_sales_report,Sales Report.xlsx,2024,903,6,Batangas,DR 24642,2024-01-04,LACTAMOX 250MG/62.5MG/5ML 60ML,24,360,8640,0,8640,129.7,3112.8,5527.2,0.6397222222222222
raw_sales_report,Sales Report.xlsx,2024,904,6,Batangas,DR 24636,2024-01-02,CIUMADE TAB,3,990,2970,0,2970,450,1350,1620,0.5454545454545454
raw_sales_report,Sales Report.xlsx,2024,905,6,Batangas,DR 24636,2024-01-02,EMZART-80 80MG,5,950,4750,0,4750,264,1320,3430,0.7221052631578947
raw_sales_report,Sales Report.xlsx,2024,906,6,Batangas,DR 24636,2024-01-02,TRIDEN 160MG TAB,3,2560,7680,0,7680,720,2160,5520,0.71875
raw_sales_report,Sales Report.xlsx,2024,907,6,Batangas,DR 24636,2024-01-02,AFENAX 100MG TAB,2,1980,3960,0,3960,595,1190,2770,0.6994949494949495
raw_sales_report,Sales Report.xlsx,2024,908,6,Batangas,DR 24637,2024-01-02,CEPROTRON 500MG TAB,4,1925,7700,0,7700,550,2200,5500,0.7142857142857143
raw_sales_report,Sales Report.xlsx,2024,909,6,Batangas,DR 24637,2024-01-02,DOLO-JAGA 500MG/50MG/100MG/100MCG,3,1800,5400,0,5400,615,1845,3555,0.6583333333333333
raw_sales_report,Sales Report.xlsx,2024,910,6,Batangas,DR 24637,2024-01-02,CENDALEX 500MG,1,990,990,0,990,287.5,287.5,702.5,0.7095959595959596
raw_sales_report,Sales Report.xlsx,2024,911,6,Batangas,DR 24638,2024-01-02,LACTAMOX 500MG/125MG,2,3000,6000,0,6000,1115,2230,3770,0.6283333333333333
raw_sales_report,Sales Report.xlsx,2024,912,6,Batangas,DR 24638,2024-01-02,JAGA 300MG/100MG/100MCG CAP,3,1850,5550,0,5550,530,1590,3960,0.7135135135135136
raw_sales_report,Sales Report.xlsx,2024,913,6,Batangas,DR 24638,2024-01-02,ZILTEM 25MG,1,5125,5125,0,5125,1533.33,1533.33,3591.67,0.7008136585365854
raw_sales_report,Sales Report.xlsx,2024,914,6,Batangas,DR 24645,2024-01-09,TRIZEF 200MG TAB,2,9375,18750,0,18750,1600,3200,15550,0.8293333333333334
raw_sales_report,Sales Report.xlsx,2024,915,6,Batangas,DR 24644,2024-01-09,CEPROTRON 500MG TAB,4,1925,7700,0,7700,550,2200,5500,0.7142857142857143
raw_sales_report,Sales Report.xlsx,2024,916,6,Batangas,DR 24643,2024-01-09,LACTAMOX 500MG/125MG,5,3000,15000,0,15000,1115,5575,9425,0.6283333333333333
raw_sales_report,Sales Report.xlsx,2024,917,6,Batangas,DR 24643,2024-01-09,VOXOLL 30MG,5,715,3575,0,3575,168,840,2735,0.765034965034965
raw_sales_report,Sales Report.xlsx,2024,918,6,Batangas,DR 24643,2024-01-09,AFENAX 100MG TAB,4,1980,7920,0,7920,595,2380,5540,0.6994949494949495
raw_sales_report,Sales Report.xlsx,2024,919,6,Batangas,DR 24644,2024-01-09,TRIDEN 160MG TAB,3,2560,7680,0,7680,720,2160,5520,0.71875
raw_sales_report,Sales Report.xlsx,2024,920,6,Batangas,DR 24644,2024-01-09,EMZART-40 40MG,10,548,5480,0,5480,156,1560,3920,0.7153284671532847
raw_sales_report,Sales Report.xlsx,2024,921,6,Batangas,DR 24751,2024-01-11,CENDALEX 500MG,7,1100,7700,0,7700,287.5,2012.5,5687.5,0.7386363636363636
raw_sales_report,Sales Report.xlsx,2024,922,6,Batangas,DR 24751,2024-01-11,LACTAMOX 250MG/62.5MG/5ML 60ML,20,360,7200,0,7200,129.7,2594,4606,0.6397222222222222
raw_sales_report,Sales Report.xlsx,2024,923,6,Batangas,DR 24751,2024-01-11,VOXOLL 15MG/5ML,12,72,864,0,864,33,396,468,0.5416666666666666
raw_sales_report,Sales Report.xlsx,2024,924,6,Batangas,DR 24751,2024-01-11,JAGAPLEX,2,1200,2400,0,2400,395,790,1610,0.6708333333333333
raw_sales_report,Sales Report.xlsx,2024,925,6,Batangas,DR 24755,2024-01-12,UNAZEUS 500MG/250MG,2,700,1400,0,1400,285,570,830,0.5928571428571429
raw_sales_report,Sales Report.xlsx,2024,926,6,Batangas,DR 24755,2024-01-12,OPREX 40MG IV,12,500,6000,0,6000,222,2664,3336,0.556
raw_sales_report,Sales Report.xlsx,2024,927,6,Batangas,DR 24755,2024-01-12,EROXIME 750MG IV,8,430,3440,0,3440,190,1520,1920,0.5581395348837209
raw_sales_report,Sales Report.xlsx,2024,928,6,Batangas,DR 24755,2024-01-12,CEFTRIABBAS 1G,6,500,3000,0,3000,220,1320,1680,0.56
raw_sales_report,Sales Report.xlsx,2024,929,6,Batangas,DR 24756,2024-01-12,CIXTOR-Z MAX 500MG/10MG/1000IU,2,1900,3800,0,3800,445,890,2910,0.7657894736842106
raw_sales_report,Sales Report.xlsx,2024,930,6,Batangas,DR 24754,2024-01-11,JAGAPLEX,2,1200,2400,0,2400,395,790,1610,0.6708333333333333
raw_sales_report,Sales Report.xlsx,2024,931,6,Batangas,DR 24753,2024-01-11,CENDALEX 500MG,3,1100,3300,0,3300,287.5,862.5,2437.5,0.7386363636363636
raw_sales_report,Sales Report.xlsx,2024,932,6,Batangas,DR 24752,2024-01-11,LACTAMOX 500MG/125MG,2,3600,7200,0,7200,1115,2230,4970,0.6902777777777778
raw_sales_report,Sales Report.xlsx,2024,933,6,Batangas,DR 24648,2024-01-10,HYCLENS WOUND SPRAY 2% 60ML,14,250,3500,0,3500,114.66,1605.24,1894.76,0.54136
raw_sales_report,Sales Report.xlsx,2024,934,6,Batangas,DR 24647,2024-01-09,HYCLENS GARGLE 0.12% 120ML,8,198,1584,0,1584,88,704,880,0.5555555555555556
raw_sales_report,Sales Report.xlsx,2024,935,6,Batangas,DR 24647,2024-01-09,HYCLENS GARGLE 0.12% 60ML,11,153,1683,0,1683,65,715,968,0.5751633986928104
raw_sales_report,Sales Report.xlsx,2024,936,6,Batangas,DR 24647,2024-01-09,HYCLENS WOUND SPRAY 2% 60ML,6,286,1716,0,1716,114.66,687.96,1028.04,0.5990909090909091
raw_sales_report,Sales Report.xlsx,2024,937,6,Batangas,DR 24765,2024-01-23,CENDALEX 500MG,4,1100,4400,0,4400,287.5,1150,3250,0.7386363636363636
