data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,DRNumber,DRDate,AREA,Product,Qty,ContractPrice,TOTAL CP,Discount,TotalCP,TransferPrice,Total TP,Net Income,column_13
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,123,5,13593,2019-02-28,Admin,HAV C 500mg,7,135.71428,949.99996,0,949.99996,60,420,529.99996,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,124,5,13594,2019-02-28,Admin,Isoprine 10mg,6,940,5640,1692,3948,215,1290,2658,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,125,5,13594,2019-02-28,Admin,VONWELT TRANEXAMIC ACID,2,2100,4200,1260,2940,320,640,2300,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,126,5,13595,2019-03-01,Pharma,APREZAL 20MG/ML AMP,3,3900,11700,0,11700,1083.1666666666667,3249.5,8450.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,127,5,13596,2019-02-28,Admin,GENTAM 40mg,1,9.75,9.75,0,9.75,5.91,5.91,3.84,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,128,5,13596,2019-02-28,Admin,JAGA 300MG/100MG/100MCG,2,795,1590,0,1590,530,1060,530,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,129,5,13596,2019-02-28,Admin,JAGAPLEX TAB,2,592.5,1185,0,1185,263.3333333333333,526.6666666666666,658.3333333333334,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,130,5,13598,2019-02-28,Admin,APROCARE 150mg,3,328.5,985.5,0,985.5,219,657,328.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,131,5,13598,2019-02-28,Admin,SAPHLECOX 200mg,0.14,300,42.00000000000001,0,42.00000000000001,168,23.520000000000003,18.480000000000004,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,132,5,13599,2019-03-09,Admin,LACTAMOX 500mg/125mg TAB,1,1760.4,1760.4,0,1760.4,1173.2,1173.2,587.2,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,133,5,13599,2019-03-09,Admin,Face Mask Earloop,1,75,75,0,75,45,45,30,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,134,5,13599,2019-03-09,Admin,Digital Thermometer - Surgitech,1,90,90,0,90,50,50,40,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,135,5,13600,2019-02-28,Admin,FOCID 5mg,1,393.75,393.75,0,393.75,,,393.75,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,136,5,13600,2019-02-28,Admin,JAGAPLEX OB,1,346.5,346.5,0,346.5,165,165,181.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,137,5,14038,2018-03-07,Admin,MAXXIVIT PLUS,7,1000,7000,0,7000,440,3080,3920,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,138,5,14038,2018-03-07,Admin,XYNETIN 1500mg/200iu,7,750,5250,0,5250,310,2170,3080,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,139,5,14038,2018-03-07,Admin,OB-DILAN 10mg,14,785.714285714,10999.999999996,0,10999.999999996,,,10999.999999996,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,140,5,14038,2018-03-07,Admin,FERGLOBIN 250mg,7,517.857142857,3624.999999999,0,3624.999999999,215,1505,2119.999999999,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,141,5,14498,2018-11-12,Admin,MULTILEM CAP,12,26.25,315,0,315,26,312,3,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,142,5,14498,2018-11-12,Admin,CINNABLOC 25mg,2,199.5,399,0,399,133,266,133,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,143,5,14498,2018-11-12,Admin,SOLVASC 5MG,2,645,1290,0,1290,383.93,767.86,522.14,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,144,5,14498,2018-11-12,Admin,Cardizar 50mg,2,240,480,0,480,142.86,285.72,194.27999999999997,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,145,5,14498,2018-11-12,Admin,ATOVAS 20mg,1,327.02,327.02,0,327.02,174.49666666666667,174.49666666666667,152.5233333333333,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,146,5,14498,2018-11-12,Admin,K-LYTE 600mg - delte,1,1192.5,1192.5,0,1192.5,852.5,852.5,340,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,147,5,14498,2018-11-12,Admin,Prometin,1,69,69,0,69,46,46,23,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,148,5,14498,2018-11-12,Admin,STEEROMETZ 5mg,1,156.75,156.75,0,156.75,104.5,104.5,52.25,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,149,5,14499,2018-11-19,Admin,PROPHALAN,2,547.5,1095,0,1095,365,730,365,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,150,5,14499,2018-11-19,Admin,AFFORVIT,3,304.5,913.5,0,913.5,203,609,304.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,151,5,14500,2018-11-12,Admin,CORSTAPH 500mg,7,1500,10500,0,10500,435,3045,7455,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,152,5,14500,2018-11-12,Admin,DUOTRAM 325mg,7,1980,13860,0,13860,,,13860,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,153,5,14500,2018-11-12,Admin,FERGLOBIN 250mg,7,725,5075,0,5075,215,1505,3570,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,154,5,14500,2018-11-12,Admin,Isoprine 10mg,7,940,6580,0,6580,215,1505,5075,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,155,5,14772,2018-03-10,Hospital,EVAPROST 125mcg/ml,1,3240,3240,0,3240,1872,1872,1368,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,156,5,14775,2018-04-11,Laguna,EVAPROST 125mcg/ml,4,4800,19200,0,19200,1872,7488,11712,
