data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,DR,DATE,AREA,PRODUCT,GROSS SALES,UNIT PRICE,GROSS,DISCOUNT,column_9,QTY,TP,TOTAL,NET INCOME
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,124,5,12979,2017-04-29,HOSPITAL,#REF!,2,7920,15840,,0,2,3575,7150,8690
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,125,5,12979,2017-04-29,HOSPITAL,#REF!,1,1950,1950,,0,1,685,685,1265
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,126,5,12979,2017-04-29,HOSPITAL,#REF!,2,1550,3100,,0,2,480.9,961.8,2138.2
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,127,5,12979,2017-04-29,HOSPITAL,#REF!,5,800,4000,,0,5,100,500,3500
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,128,5,12979,2017-04-29,HOSPITAL,#REF!,3,2450,7350,,0,3,880.91,2642.73,4707.27
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,129,5,12979,2017-04-29,HOSPITAL,#REF!,1,1900,1900,,0,1,595,595,1305
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,130,5,12981,2017-05-03,ADMIN,#REF!,5,1200,6000,,0,7,420,2940,3060
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,131,5,12981,2017-05-03,ADMIN,#REF!,5,950,4750,,0,7,310,2170,2580
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,132,5,12984,2017-05-08,ADMIN,#REF!,2,2100,4200,0.3,1260,2,685,1370,1570
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,133,5,12984,2017-05-08,ADMIN,#REF!,2,650,1300,0.3,390,2,35,70,840
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,134,5,12984,2017-05-08,ADMIN,#REF!,1,3800,3800,0.3,1140,1,890,890,1770
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,135,5,12985,2017-05-08,ADMIN,#REF!,5,1200,6000,,0,7,420,2940,3060
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,136,5,12985,2017-05-08,ADMIN,#REF!,5,950,4750,,0,7,310,2170,2580
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,137,5,12986,2017-05-11,ADMIN,#REF!,1,1830,1830,,0,2,323.4,646.8,1183.2
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,138,5,12987,2017-05-11,ADMIN,#REF!,1,198,198,,0,2,68,136,62
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,139,5,12987,2017-05-11,ADMIN,#REF!,1,80,80,,0,2,24.47,48.94,31.060000000000002
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,140,5,12988,2017-05-11,ADMIN,#REF!,1,80,80,,0,2,24.47,48.94,31.060000000000002
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,141,5,12989,2017-05-12,ADMIN,#REF!,10,1100,11000,,0,14,318.4,4457.599999999999,6542.400000000001
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,142,5,12989,2017-05-12,ADMIN,#REF!,5,1750,8750,,0,7,500,3500,5250
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,143,5,12989,2017-05-12,ADMIN,#REF!,5,3000,15000,,0,7,1450,10150,4850
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,144,5,12990,2017-05-16,HOSPITAL,#REF!,1,700,700,,0,1,235,235,465
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,145,5,12990,2017-05-16,HOSPITAL,#REF!,4,2800,11200,,0,4,1173.6,4694.4,6505.6
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,146,5,12990,2017-05-16,HOSPITAL,#REF!,50,128,6400,,0,50,45,2250,4150
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,147,5,12990,2017-05-16,HOSPITAL,#REF!,1,930,930,,0,1,384,384,546
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,148,5,12990,2017-05-16,HOSPITAL,#REF!,3,1550,4650,,0,3,480.9,1442.6999999999998,3207.3
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,149,5,12990,2017-05-16,HOSPITAL,#REF!,3,1750,5250,,0,3,415,1245,4005
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,150,5,12992,2017-05-26,ADMIN,#REF!,,,0,,0,0,,0,0
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,151,5,12993,2017-05-17,ADMIN,#REF!,5,950,4750,,0,7,310,2170,2580
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,152,5,12993,2017-05-17,ADMIN,#REF!,5,1200,6000,,0,7,420,2940,3060
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,153,5,12993,2017-05-17,ADMIN,#REF!,5,650,3250,,0,7,187.5,1312.5,1937.5
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,154,5,12994,2017-05-18,ADMIN,#REF!,3,1550,4650,,0,3,445,1335,3315
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,155,5,12994,2017-05-18,ADMIN,#REF!,4,915,3660,,0,4,323,1292,2368
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,156,5,12994,2017-05-18,ADMIN,#REF!,2,3800,7600,,0,2,890,1780,5820
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,157,5,12994,2017-05-18,ADMIN,#REF!,30,450,13500,,0,30,148,4440,9060
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,158,5,12995,2017-05-18,ADMIN,#REF!,,,0,,0,0,,0,0
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,159,5,12996,2017-05-19,ADMIN,#REF!,5,650,3250,,0,5,202.5,1012.5,2237.5
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,160,5,12996,2017-05-19,ADMIN,#REF!,9,1100,9900,,0,9,310,2790,7110
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,161,5,12996,2017-05-19,ADMIN,#REF!,5,1500,7500,,0,5,435,2175,5325
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,162,5,12996,2017-05-19,ADMIN,#REF!,5,980,4900,,0,5,280,1400,3500
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,163,5,12996,2017-05-19,ADMIN,#REF!,3,1425,4275,,0,3,445,1335,2940
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,164,5,12996,2017-05-19,ADMIN,#REF!,20,1150,23000,,0,20,345,6900,16100
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,165,5,12996,2017-05-19,ADMIN,#REF!,5,650,3250,,0,5,170,850,2400
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,166,5,12998,2017-05-25,ADMIN,#REF!,10,1100,11000,,0,14,318.4,4457.599999999999,6542.400000000001
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,167,5,12998,2017-05-25,ADMIN,#REF!,5,725,3625,,0,7,215,1505,2120
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,168,5,12998,2017-05-25,ADMIN,#REF!,5,950,4750,,0,7,310,2170,2580
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,169,5,12998,2017-05-25,ADMIN,#REF!,5,1200,6000,,0,7,420,2940,3060
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,170,5,12999,2017-05-25,ADMIN,#REF!,2,1950,3900,0.3,1170,2,590,1180,1550
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,171,5,12999,2017-05-25,ADMIN,#REF!,2,2150,4300,0.3,1290,2,553,1106,1904
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,172,5,12999,2017-05-25,ADMIN,#REF!,2,3800,7600,0.3,2280,2,890,1780,3540
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,173,5,12999,2017-05-25,ADMIN,#REF!,4,125,500,0.3,150,4,35,140,210
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,174,5,12999,2017-05-25,ADMIN,#REF!,2,1550,3100,0.3,930,2,480.9,961.8,1208.2
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,175,5,13000,2017-05-26,HOSPITAL,#REF!,2,650,1300,,0,2,202.5,405,895
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,176,5,13000,2017-05-26,HOSPITAL,#REF!,2,3960,7920,,0,2,1872,3744,4176
