product,quantity,revenue,gross_margin_amount,row_count,active_months,estimated_contract_rows,rank,gross_margin_rate,revenue_share,cumulative_revenue_share,abc_class,method,status
CHROMOGENIC ENZYME SUBSTRATE TEST (COLIKAT RAPID),12.0,345600.0,138790.0,4,3,0,146,0.401591,0.001564,0.656267,A,ABC/Pareto using total_trade_price revenue,draft
MERAZOL-40 40MG,1651.0,330200.0,291306.0,7,5,0,147,0.882211,0.001494,0.657761,A,ABC/Pareto using total_trade_price revenue,draft
BUNNY SUIT MICROFIBER,1200.0,330000.0,268200.0,2,2,0,148,0.812727,0.001493,0.659255,A,ABC/Pareto using total_trade_price revenue,draft
D5W 250ML (EUROMED),3000.0,330000.0,330000.0,1,1,0,149,1.0,0.001493,0.660748,A,ABC/Pareto using total_trade_price revenue,draft
ENOX 6000 ANTI-XA IU/0.6ML (KULANIMA HAZIR ENJEKTOR) STERIL - ENOKSAPARIN SODIUM,800.0,328000.0,655760.0,4,3,0,150,1.999268,0.001484,0.662233,A,ABC/Pareto using total_trade_price revenue,draft
K-LYTE 600MG TABLET,290.0,324800.0,44950.0,4,1,0,151,0.138393,0.00147,0.663703,A,ABC/Pareto using total_trade_price revenue,draft
PHIZOLIN 1G,1798.0,322172.5,326952.5,13,8,0,152,1.014837,0.001458,0.665161,A,ABC/Pareto using total_trade_price revenue,draft
HBW MARKER,41.2102,321152.12,-114841.62,13,6,10,153,-0.357593,0.001453,0.666614,A,ABC/Pareto using total_trade_price revenue,draft
HBW SCISSORS,44.7286,320256.48,-177822.2,9,7,5,154,-0.555249,0.001449,0.668064,A,ABC/Pareto using total_trade_price revenue,draft
ENOCEE 500MG,1466.4684,317648.96,534128.0,60,21,2,155,1.681504,0.001438,0.669501,A,ABC/Pareto using total_trade_price revenue,draft
ENHAMOX 500MG/125MG,264.8912,317085.95,536001.66,70,6,2,156,1.690399,0.001435,0.670936,A,ABC/Pareto using total_trade_price revenue,draft
DISPOSABLE DIAPER ADULT XL (HEXACARE),1554.0,315546.26,58029.74,7,5,0,157,0.183902,0.001428,0.672364,A,ABC/Pareto using total_trade_price revenue,draft
JAGA 300MG/100MG/100MCG,589.44,312403.2,557607.8,162,34,0,158,1.784898,0.001414,0.673778,A,ABC/Pareto using total_trade_price revenue,draft
RENITE XL,1000.0,308000.0,308470.0,3,2,0,159,1.001526,0.001394,0.675172,A,ABC/Pareto using total_trade_price revenue,draft
TRIZEF 100MG,222.0,303163.8,805436.2,56,26,0,160,2.656769,0.001372,0.676544,A,ABC/Pareto using total_trade_price revenue,draft
X-RAY FILM 14X14 (FUJI),10.2309,299494.58,-79023.55,4,1,1,161,-0.263856,0.001355,0.6779,A,ABC/Pareto using total_trade_price revenue,draft
SPASBASCINE,1584.0,295090.0,710035.0,28,19,0,162,2.406164,0.001336,0.679235,A,ABC/Pareto using total_trade_price revenue,draft
RELAXSAPH 500MCG+2.5MG/2.5ML,428.4946,294261.92,177644.46,6,4,1,163,0.603695,0.001332,0.680567,A,ABC/Pareto using total_trade_price revenue,draft
IV CANNULA WITH WINGS LUER LOCK G22 .8X25MM (CATHULA),132.2,290840.0,155996.0,8,3,0,164,0.536364,0.001316,0.681883,A,ABC/Pareto using total_trade_price revenue,draft
HEPABIG 100I.U/0.5ML IV,100.0,290000.0,67300.0,3,2,0,165,0.232069,0.001312,0.683196,A,ABC/Pareto using total_trade_price revenue,draft
AMCETAM 150MG/2ML,566.3293,288944.98,538645.51,22,11,2,166,1.86418,0.001308,0.684503,A,ABC/Pareto using total_trade_price revenue,draft
GLOVES BLUE VINYL/NITRILE BLEND (LARGE),1130.0,287760.0,441754.27,12,8,0,167,1.535148,0.001302,0.685806,A,ABC/Pareto using total_trade_price revenue,draft
FLASH DRIVE 16GB CAPACITY 1 PIECE INVIDUAL BLISTER PACK KINGSTON,14.9668,283311.19,132357.46,11,6,8,168,0.46718,0.001282,0.687088,A,ABC/Pareto using total_trade_price revenue,draft
CIUMADE,629.0,283050.0,165159.61,107,33,0,169,0.5835,0.001281,0.688369,A,ABC/Pareto using total_trade_price revenue,draft
ELECTRICAL WIRE #14,53.6209,280729.15,176264.61,24,9,22,170,0.627881,0.001271,0.689639,A,ABC/Pareto using total_trade_price revenue,draft
