normalized_key,raw_product,row_count
SALBUSAPH 1MG ML,SALBUSAPH 1MG/ML,1
DISPOSABLE INFUSION SET PEDIA 60MICRODROPS ML,DISPOSABLE INFUSION SET PEDIA 60MICRODROPS/ML (HEXACARE),2
DISPOSABLE INFUSION SET PEDIA 60MICRODROPS ML,DISPOSABLE INFUSION SET PEDIA 60MICRODROPS/ML (CAREPLUS),1
WADDING SHEET 4X5,WADDING SHEET 4X5,2
WADDING SHEET 4X5,WADDING SHEET - 4X5,1
WADDING SHEET 6X5,WADDING SHEET 6X5,2
WADDING SHEET 6X5,WADDING SHEET - 6X5,1
DOBUBAX 12 5MG ML 20ML,DOBUBAX 12.5MG/ML 20ML,2
DOBUBAX 12 5MG ML 20ML,DOBUBAX 12.5MG/ML (250MG/20ML) 20ML,1
REGIVASC 10MG,REGIVASC 10MG TAB,2
REGIVASC 10MG,REGIVASC 10MG,1
WALIS TINGTING,WALIS TINGTING,2
WALIS TINGTING,WALIS TINGTING (HARD),1
AMLOTHIX 10MG,AMLOTHIX 10MG TAB,2
AMLOTHIX 10MG,AMLOTHIX 10MG,1
JACKSON PRATT 100ML,JACKSON PRATT 100ML,2
JACKSON PRATT 100ML,JACKSON PRATT 100ML (CARDINAL HEALTH),1
PENLIGHT,PENLIGHT (KINGMED),2
PENLIGHT,PENLIGHT,1
ENDOTRACHEAL TUBE CUFFED 6 5MM,ENDOTRACHEAL TUBE CUFFED 6.5MM (INDOPLAS),1
ENDOTRACHEAL TUBE CUFFED 6 5MM,ENDOTRACHEAL TUBE CUFFED 6.5MM (ORMED),1
ENDOTRACHEAL TUBE CUFFED 6 5MM,ENDOTRACHEAL TUBE CUFFED 6.5MM (TOPCARE),1
ENDOTRACHEAL TUBE CUFFED 7 5MM,ENDOTRACHEAL TUBE CUFFED 7.5MM (INDOPLAS),2
ENDOTRACHEAL TUBE CUFFED 7 5MM,ENDOTRACHEAL TUBE CUFFED 7.5MM (SEDASENZ),1
ENDOTRACHEAL TUBE UNCUFFED 3 5MM,ENDOTRACHEAL TUBE UNCUFFED 3.5MM (INDOPLAS),1
ENDOTRACHEAL TUBE UNCUFFED 3 5MM,ENDOTRACHEAL TUBE UNCUFFED 3.5MM (PARTNERS),1
ENDOTRACHEAL TUBE UNCUFFED 3 5MM,ENDOTRACHEAL TUBE UNCUFFED 3.5MM (SURGITECH),1
STERILE WATER FOR INJECTION,STERILE WATER FOR INJECTION (EUROMED),2
STERILE WATER FOR INJECTION,STERILE WATER FOR INJECTION (AMB),1
VONWELT PREDNISONE 10MG,VONWELT PREDNISONE 10MG,2
VONWELT PREDNISONE 10MG,VONWELT PREDNISONE 10MG TAB,1
PREGNANCY TEST,PREGNANCY TEST (RIGHTSIGN),2
PREGNANCY TEST,PREGNANCY TEST (PARTNERS),1
POVIDONE IODINE 10 1G,POVIDONE IODINE 10% 1G (JCHIEME),2
POVIDONE IODINE 10 1G,POVIDONE IODINE 10% 1G (BETASOL),1
